date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,safety_stock,stock_status,inventory_risk
2025-12-07,SKU00093,276,0,7,158,49,SUFFICIENT STOCK,False
2025-12-26,SKU00094,88,0,7,73,24,SUFFICIENT STOCK,True
2025-11-19,SKU00095,98,0,7,77,25,SUFFICIENT STOCK,True
2025-11-26,SKU00096,127,0,7,76,24,SUFFICIENT STOCK,False
2025-12-02,SKU00097,377,0,7,172,63,SUFFICIENT STOCK,False
2025-11-27,SKU00098,224,0,7,83,20,SUFFICIENT STOCK,False
2025-12-31,SKU00099,18,0,7,77,34,REORDER REQUIRED,True
2025-12-25,SKU00100,177,0,7,116,55,SUFFICIENT STOCK,False
2025-12-23,SKU00102,131,0,7,130,57,SUFFICIENT STOCK,True
2025-12-27,SKU00103,294,0,7,176,51,SUFFICIENT STOCK,False
2025-12-08,SKU00104,299,0,7,137,54,SUFFICIENT STOCK,False
2025-12-12,SKU00105,296,0,7,124,26,SUFFICIENT STOCK,False
2025-12-25,SKU00106,436,0,7,327,136,SUFFICIENT STOCK,True
2025-12-31,SKU00107,278,0,7,240,88,SUFFICIENT STOCK,True
2025-12-14,SKU00108,277,0,7,192,67,SUFFICIENT STOCK,False
2025-12-24,SKU00110,134,0,7,83,25,SUFFICIENT STOCK,False
2025-12-15,SKU00111,442,0,7,191,71,SUFFICIENT STOCK,False
2025-12-26,SKU00112,377,0,7,194,49,SUFFICIENT STOCK,False
2025-11-10,SKU00113,230,0,7,145,53,SUFFICIENT STOCK,False
2025-12-26,SKU00114,96,0,7,123,37,REORDER REQUIRED,True
2025-12-06,SKU00115,336,0,7,250,71,SUFFICIENT STOCK,False
2025-12-23,SKU00116,10,0,7,41,11,REORDER REQUIRED,True
2025-12-30,SKU00117,278,0,7,191,74,SUFFICIENT STOCK,False
2025-12-27,SKU00118,351,0,7,159,53,SUFFICIENT STOCK,False
2025-11-10,SKU00119,5,0,7,22,11,REORDER REQUIRED,True
2025-11-24,SKU00120,252,0,7,180,49,SUFFICIENT STOCK,False
2025-12-23,SKU00122,98,0,7,160,46,REORDER REQUIRED,True
2025-11-18,SKU00123,231,0,7,128,54,SUFFICIENT STOCK,False
2025-12-15,SKU00124,15,0,7,27,13,REORDER REQUIRED,True
2025-12-30,SKU00125,186,0,7,98,31,SUFFICIENT STOCK,False
2025-12-25,SKU00126,140,0,7,143,47,REORDER REQUIRED,True
2025-12-26,SKU00127,4986,0,7,1188,404,SUFFICIENT STOCK,False
2025-12-17,SKU00128,124,0,7,53,25,SUFFICIENT STOCK,False
2025-11-13,SKU00129,83,0,7,47,17,SUFFICIENT STOCK,False
2025-12-29,SKU00130,225,0,7,123,49,SUFFICIENT STOCK,False
2025-12-08,SKU00131,261,0,7,140,57,SUFFICIENT STOCK,False
2025-12-31,SKU00133,365,0,7,133,52,SUFFICIENT STOCK,False
2025-12-07,SKU00134,209,0,7,184,63,SUFFICIENT STOCK,True
2025-12-14,SKU00135,218,0,7,265,111,REORDER REQUIRED,True
2025-12-10,SKU00136,112,0,7,57,26,SUFFICIENT STOCK,False
2025-11-17,SKU00137,156,0,7,68,20,SUFFICIENT STOCK,False
2025-12-28,SKU00138,495,0,7,315,106,SUFFICIENT STOCK,False
2025-12-07,SKU00140,112,0,7,63,18,SUFFICIENT STOCK,False
2025-11-27,SKU00141,133,0,7,120,40,SUFFICIENT STOCK,True
2025-12-29,SKU00142,179,0,7,178,46,SUFFICIENT STOCK,True
2025-11-24,SKU00143,79,0,7,44,17,SUFFICIENT STOCK,False
2025-12-27,SKU00144,165,0,7,95,32,SUFFICIENT STOCK,False
2025-11-26,SKU00145,86,0,7,57,20,SUFFICIENT STOCK,False
2025-12-15,SKU00146,381,0,7,230,56,SUFFICIENT STOCK,False
2025-12-22,SKU00147,14,0,7,43,17,REORDER REQUIRED,True
2025-11-21,SKU00149,87,0,7,40,9,SUFFICIENT STOCK,False
2025-08-16,SKU00150,4618,0,7,971,330,SUFFICIENT STOCK,False
2025-12-27,SKU00151,261,0,7,89,22,SUFFICIENT STOCK,False
2025-12-24,SKU00153,174,0,7,103,32,SUFFICIENT STOCK,False
2025-11-01,SKU00154,46,0,7,41,12,SUFFICIENT STOCK,True
2025-09-01,SKU00155,7407,0,7,1674,608,SUFFICIENT STOCK,False
2025-11-21,SKU00156,171,0,7,159,36,SUFFICIENT STOCK,True
2025-11-27,SKU00157,321,0,7,208,68,SUFFICIENT STOCK,False
2025-12-23,SKU00159,400,0,7,165,44,SUFFICIENT STOCK,False
2025-12-25,SKU00160,76,0,7,46,14,SUFFICIENT STOCK,False
2025-12-24,SKU00161,52,0,7,27,10,SUFFICIENT STOCK,False
2025-12-29,SKU00162,84,0,7,57,20,SUFFICIENT STOCK,False
2025-11-28,SKU00163,179,0,7,60,23,SUFFICIENT STOCK,False
2025-11-10,SKU00166,167,0,7,90,39,SUFFICIENT STOCK,False
2025-08-31,SKU00167,6662,0,7,1563,578,SUFFICIENT STOCK,False
2025-11-24,SKU00168,52,0,7,93,27,REORDER REQUIRED,True
2025-10-05,SKU00169,0,0,7,667,234,OUT OF STOCK,True
2025-08-31,SKU00170,7177,0,7,1634,561,SUFFICIENT STOCK,False
2025-12-03,SKU00171,113,0,7,97,47,SUFFICIENT STOCK,True
2025-11-22,SKU00173,84,0,7,32,9,SUFFICIENT STOCK,False
2025-12-17,SKU00175,25,0,7,95,22,REORDER REQUIRED,True
2025-11-12,SKU00177,54,0,7,734,280,REORDER REQUIRED,True
2025-12-10,SKU00178,265,0,7,120,52,SUFFICIENT STOCK,False
2025-12-27,SKU00179,237,0,7,169,44,SUFFICIENT STOCK,False
2025-12-19,SKU00180,81,0,7,31,10,SUFFICIENT STOCK,False
2025-12-28,SKU00181,633,0,7,380,108,SUFFICIENT STOCK,False
2025-12-28,SKU00182,212,0,7,216,84,REORDER REQUIRED,True
2025-12-19,SKU00183,84,0,7,73,36,SUFFICIENT STOCK,True
2025-11-17,SKU00184,96,0,7,33,15,SUFFICIENT STOCK,False
2025-12-17,SKU00185,398,0,7,175,76,SUFFICIENT STOCK,False
2025-08-23,SKU00186,4390,0,7,994,324,SUFFICIENT STOCK,False
2025-11-14,SKU00188,101,0,7,52,15,SUFFICIENT STOCK,False
2025-12-29,SKU00189,103,0,7,86,32,SUFFICIENT STOCK,True
2025-10-10,SKU00190,0,0,7,931,313,OUT OF STOCK,True
2025-11-16,SKU00191,73,0,7,108,37,REORDER REQUIRED,True
2025-12-12,SKU00192,207,0,7,130,39,SUFFICIENT STOCK,False
2025-12-31,SKU00193,79,0,7,73,15,SUFFICIENT STOCK,True
2025-12-21,SKU00194,20,0,7,40,9,REORDER REQUIRED,True
2025-12-29,SKU00195,595,0,7,344,136,SUFFICIENT STOCK,False
2025-12-12,SKU00196,148,0,7,100,35,SUFFICIENT STOCK,False
2025-12-30,SKU00197,171,0,7,79,38,SUFFICIENT STOCK,False
2025-12-09,SKU00198,537,0,7,271,102,SUFFICIENT STOCK,False
2025-12-28,SKU00199,62,0,7,39,12,SUFFICIENT STOCK,False
2025-12-31,SKU00200,317,0,7,234,91,SUFFICIENT STOCK,True
2025-12-27,SKU00201,376,0,7,180,73,SUFFICIENT STOCK,False
2025-12-04,SKU00202,314,0,7,174,63,SUFFICIENT STOCK,False
2025-12-20,SKU00203,93,0,7,81,25,SUFFICIENT STOCK,True
2025-12-29,SKU00204,20,0,7,31,15,REORDER REQUIRED,True
2025-11-30,SKU00205,45,0,7,59,13,REORDER REQUIRED,True
2025-12-18,SKU00206,185,0,7,63,29,SUFFICIENT STOCK,False
2025-12-07,SKU00209,89,0,7,96,23,REORDER REQUIRED,True
2025-12-28,SKU00210,169,0,7,149,52,SUFFICIENT STOCK,True
2025-12-08,SKU00212,61,0,7,46,15,SUFFICIENT STOCK,False
2025-12-03,SKU00213,100,0,7,67,25,SUFFICIENT STOCK,False
2025-12-31,SKU00214,116,0,7,146,49,REORDER REQUIRED,True
2025-12-24,SKU00215,352,0,7,212,68,SUFFICIENT STOCK,False
2025-12-27,SKU00216,374,0,7,204,71,SUFFICIENT STOCK,False
2025-12-29,SKU00218,450,0,7,284,99,SUFFICIENT STOCK,False
2025-12-25,SKU00219,262,0,7,92,29,SUFFICIENT STOCK,False
2025-12-16,SKU00220,313,0,7,157,46,SUFFICIENT STOCK,False
2025-12-10,SKU00221,304,0,7,297,113,SUFFICIENT STOCK,True
2025-12-31,SKU00222,25,0,7,35,16,REORDER REQUIRED,True
2025-12-26,SKU00223,286,0,7,129,42,SUFFICIENT STOCK,False
2025-12-16,SKU00224,554,0,7,266,119,SUFFICIENT STOCK,False
2025-12-10,SKU00225,305,0,7,239,88,SUFFICIENT STOCK,True
2025-12-19,SKU00226,365,0,7,275,91,SUFFICIENT STOCK,True
2025-12-31,SKU00227,374,0,7,237,72,SUFFICIENT STOCK,False
2025-12-13,SKU00228,495,0,7,180,62,SUFFICIENT STOCK,False
2025-11-29,SKU00229,51,0,7,21,5,SUFFICIENT STOCK,False
2025-12-15,SKU00230,163,0,7,128,39,SUFFICIENT STOCK,True
2025-12-26,SKU00231,94,0,7,86,34,SUFFICIENT STOCK,True
2025-12-01,SKU00232,260,0,7,159,57,SUFFICIENT STOCK,False
2025-12-16,SKU00233,123,0,7,200,78,REORDER REQUIRED,True
2025-11-15,SKU00234,70,0,7,61,21,SUFFICIENT STOCK,True
2025-12-17,SKU00235,161,0,7,124,46,SUFFICIENT STOCK,True
2025-12-12,SKU00236,226,0,7,115,34,SUFFICIENT STOCK,False
2025-12-08,SKU00237,5621,0,7,1258,412,SUFFICIENT STOCK,False
2025-11-08,SKU00238,96,0,7,99,44,REORDER REQUIRED,True
2025-12-31,SKU00239,525,0,7,220,63,SUFFICIENT STOCK,False
2025-11-05,SKU00240,7712,0,7,1749,586,SUFFICIENT STOCK,False
2025-12-04,SKU00241,141,0,7,67,16,SUFFICIENT STOCK,False
2025-12-12,SKU00242,563,0,7,466,150,SUFFICIENT STOCK,True
2025-11-15,SKU00243,53,0,7,28,8,SUFFICIENT STOCK,False
2025-12-21,SKU00244,306,0,7,244,94,SUFFICIENT STOCK,True
2025-11-28,SKU00245,79,0,7,171,48,REORDER REQUIRED,True
2025-11-22,SKU00246,128,0,7,79,26,SUFFICIENT STOCK,False
2025-12-31,SKU00247,482,0,7,271,92,SUFFICIENT STOCK,False
2025-12-23,SKU00248,409,0,7,162,53,SUFFICIENT STOCK,False
2025-12-18,SKU00249,348,0,7,191,67,SUFFICIENT STOCK,False
2025-11-23,SKU00251,6107,0,7,1421,432,SUFFICIENT STOCK,False
2025-11-29,SKU00252,363,0,7,239,104,SUFFICIENT STOCK,False
2025-11-16,SKU00253,87,0,7,129,49,REORDER REQUIRED,True
2025-12-23,SKU00254,79,0,7,752,249,REORDER REQUIRED,True
2025-12-24,SKU00255,92,0,7,139,45,REORDER REQUIRED,True
2025-11-19,SKU00256,114,0,7,70,18,SUFFICIENT STOCK,False
2025-11-23,SKU00259,542,0,7,220,57,SUFFICIENT STOCK,False
2025-12-17,SKU00260,87,0,7,85,31,SUFFICIENT STOCK,True
2025-08-30,SKU00262,3516,0,7,889,306,SUFFICIENT STOCK,False
2025-12-16,SKU00263,110,0,7,678,249,REORDER REQUIRED,True
2025-12-20,SKU00264,311,0,7,1155,414,REORDER REQUIRED,True
2025-12-04,SKU00265,352,0,7,150,54,SUFFICIENT STOCK,False
2025-12-17,SKU00266,147,0,7,196,84,REORDER REQUIRED,True
2025-12-24,SKU00267,528,0,7,369,125,SUFFICIENT STOCK,False
2025-12-25,SKU00268,101,0,7,68,18,SUFFICIENT STOCK,False
2025-12-24,SKU00269,158,0,7,72,21,SUFFICIENT STOCK,False
2025-11-20,SKU00270,178,0,7,60,13,SUFFICIENT STOCK,False
2025-12-21,SKU00272,46,0,7,59,23,REORDER REQUIRED,True
2025-12-25,SKU00273,204,0,7,180,63,SUFFICIENT STOCK,True
2025-12-30,SKU00274,79,0,7,42,14,SUFFICIENT STOCK,False
2025-12-29,SKU00275,58,0,7,142,64,REORDER REQUIRED,True
2025-12-04,SKU00276,215,0,7,221,71,REORDER REQUIRED,True
2025-12-13,SKU00277,90,0,7,156,42,REORDER REQUIRED,True
2025-12-31,SKU00278,85,0,7,52,16,SUFFICIENT STOCK,False
2025-12-28,SKU00279,76,0,7,59,13,SUFFICIENT STOCK,False
2025-12-23,SKU00280,249,0,7,133,41,SUFFICIENT STOCK,False
2025-11-28,SKU00283,521,0,7,307,109,SUFFICIENT STOCK,False
2025-12-05,SKU00285,70,0,7,1032,365,REORDER REQUIRED,True
2025-12-21,SKU00286,306,0,7,849,345,REORDER REQUIRED,True
2025-12-17,SKU00287,191,0,7,68,31,SUFFICIENT STOCK,False
2025-12-30,SKU00288,379,0,7,152,44,SUFFICIENT STOCK,False
2025-12-18,SKU00289,292,0,7,297,103,REORDER REQUIRED,True
2025-12-20,SKU00291,59,0,7,698,254,REORDER REQUIRED,True
2025-11-27,SKU00292,263,0,7,136,37,SUFFICIENT STOCK,False
2025-11-28,SKU00293,156,0,7,178,86,REORDER REQUIRED,True
2025-12-17,SKU00294,253,0,7,203,84,SUFFICIENT STOCK,True
2025-12-23,SKU00295,250,0,7,269,113,REORDER REQUIRED,True
2025-11-23,SKU00296,487,0,7,174,72,SUFFICIENT STOCK,False
2025-12-31,SKU00298,388,0,7,330,110,SUFFICIENT STOCK,True
2025-12-20,SKU00299,115,0,7,57,21,SUFFICIENT STOCK,False
2025-12-01,SKU00301,233,0,7,113,30,SUFFICIENT STOCK,False
2025-11-24,SKU00302,331,0,7,234,69,SUFFICIENT STOCK,False
2025-12-23,SKU00303,115,0,7,53,20,SUFFICIENT STOCK,False
2025-12-06,SKU00304,31,0,7,21,5,SUFFICIENT STOCK,False
2025-08-28,SKU00305,6489,0,7,1499,466,SUFFICIENT STOCK,False
2025-12-17,SKU00306,201,0,7,217,64,REORDER REQUIRED,True
2025-11-30,SKU00307,262,0,7,131,48,SUFFICIENT STOCK,False
2025-12-27,SKU00308,328,0,7,231,57,SUFFICIENT STOCK,False
2025-12-30,SKU00309,219,0,7,124,40,SUFFICIENT STOCK,False
2025-11-25,SKU00310,223,0,7,125,36,SUFFICIENT STOCK,False
2025-11-14,SKU00311,87,0,7,53,12,SUFFICIENT STOCK,False
2025-12-13,SKU00312,257,0,7,183,73,SUFFICIENT STOCK,False
2025-12-23,SKU00313,350,0,7,284,102,SUFFICIENT STOCK,True
2025-12-07,SKU00314,25,0,7,60,26,REORDER REQUIRED,True
2025-11-18,SKU00315,299,0,7,119,50,SUFFICIENT STOCK,False
2025-11-28,SKU00316,276,0,7,205,65,SUFFICIENT STOCK,False
2025-08-27,SKU00317,5501,0,7,1296,472,SUFFICIENT STOCK,False
2025-11-24,SKU00318,333,0,7,188,68,SUFFICIENT STOCK,False
2025-12-24,SKU00319,583,0,7,330,103,SUFFICIENT STOCK,False
2025-11-24,SKU00320,53,0,7,98,48,REORDER REQUIRED,True
2025-11-08,SKU00321,110,0,7,54,18,SUFFICIENT STOCK,False
2025-11-23,SKU00322,95,0,7,73,26,SUFFICIENT STOCK,True
2025-11-20,SKU00323,256,0,7,193,56,SUFFICIENT STOCK,False
2025-11-27,SKU00324,419,0,7,212,81,SUFFICIENT STOCK,False
2025-12-18,SKU00325,92,0,7,69,27,SUFFICIENT STOCK,True
2025-12-20,SKU00326,162,0,7,75,23,SUFFICIENT STOCK,False
2025-11-17,SKU00327,385,0,7,202,68,SUFFICIENT STOCK,False
2025-11-22,SKU00328,72,0,7,1081,401,REORDER REQUIRED,True
2025-08-19,SKU00330,4595,0,7,983,341,SUFFICIENT STOCK,False
2025-09-02,SKU00331,7350,0,7,1598,537,SUFFICIENT STOCK,False
2025-12-30,SKU00332,105,0,7,62,21,SUFFICIENT STOCK,False
2025-12-29,SKU00333,574,0,7,329,109,SUFFICIENT STOCK,False
2025-12-23,SKU00334,217,0,7,155,45,SUFFICIENT STOCK,False
2025-12-01,SKU00335,287,0,7,183,57,SUFFICIENT STOCK,False
2025-11-28,SKU00336,318,0,7,139,66,SUFFICIENT STOCK,False
2025-12-19,SKU00337,265,0,7,178,54,SUFFICIENT STOCK,False
2025-12-28,SKU00338,116,0,7,202,90,REORDER REQUIRED,True
2025-12-06,SKU00339,311,0,7,176,76,SUFFICIENT STOCK,False
2025-12-18,SKU00340,167,0,7,118,43,SUFFICIENT STOCK,False
2025-12-18,SKU00342,4535,0,7,1075,381,SUFFICIENT STOCK,False
2025-12-02,SKU00343,300,0,7,138,43,SUFFICIENT STOCK,False
2025-12-21,SKU00344,435,0,7,172,57,SUFFICIENT STOCK,False
2025-12-25,SKU00346,74,0,7,153,47,REORDER REQUIRED,True
2025-12-22,SKU00347,234,0,7,236,77,REORDER REQUIRED,True
2025-11-27,SKU00348,79,0,7,85,31,REORDER REQUIRED,True
2025-11-29,SKU00349,133,0,7,215,73,REORDER REQUIRED,True
2025-08-29,SKU00350,5108,0,7,1166,403,SUFFICIENT STOCK,False
2025-12-27,SKU00351,317,0,7,320,117,REORDER REQUIRED,True
2025-12-30,SKU00353,120,0,7,129,53,REORDER REQUIRED,True
2025-08-29,SKU00354,6648,0,7,1492,524,SUFFICIENT STOCK,False
2025-09-02,SKU00355,7523,0,7,1698,571,SUFFICIENT STOCK,False
2025-12-29,SKU00356,221,0,7,78,26,SUFFICIENT STOCK,False
2025-12-29,SKU00357,299,0,7,178,62,SUFFICIENT STOCK,False
2025-12-04,SKU00358,115,0,7,41,11,SUFFICIENT STOCK,False
2025-12-28,SKU00360,257,0,7,189,55,SUFFICIENT STOCK,False
2025-12-23,SKU00361,303,0,7,239,81,SUFFICIENT STOCK,True
2025-10-03,SKU00363,0,0,7,754,247,OUT OF STOCK,True
2025-11-18,SKU00364,339,0,7,161,50,SUFFICIENT STOCK,False
2025-12-03,SKU00365,155,0,7,117,31,SUFFICIENT STOCK,False
2025-12-25,SKU00366,47,0,7,76,22,REORDER REQUIRED,True
2025-12-16,SKU00367,774,0,7,348,153,SUFFICIENT STOCK,False
2025-12-27,SKU00368,186,0,7,170,60,SUFFICIENT STOCK,True
2025-12-25,SKU00369,54,0,7,873,261,REORDER REQUIRED,True
2025-12-13,SKU00371,6045,0,7,1388,474,SUFFICIENT STOCK,False
2025-12-13,SKU00372,57,0,7,68,22,REORDER REQUIRED,True
2025-11-20,SKU00373,133,0,7,66,28,SUFFICIENT STOCK,False
2025-12-16,SKU00374,69,0,7,118,28,REORDER REQUIRED,True
2025-11-20,SKU00375,255,0,7,218,80,SUFFICIENT STOCK,True
2025-12-22,SKU00376,76,0,7,972,313,REORDER REQUIRED,True
2025-12-06,SKU00377,557,0,7,250,78,SUFFICIENT STOCK,False
2025-12-31,SKU00378,94,0,7,176,47,REORDER REQUIRED,True
2025-12-18,SKU00379,75,0,7,43,10,SUFFICIENT STOCK,False
2025-12-26,SKU00380,222,0,7,158,55,SUFFICIENT STOCK,False
2025-12-15,SKU00381,214,0,7,226,82,REORDER REQUIRED,True
2025-12-25,SKU00382,346,0,7,146,49,SUFFICIENT STOCK,False
2025-11-28,SKU00383,181,0,7,83,39,SUFFICIENT STOCK,False
2025-12-21,SKU00384,186,0,7,68,25,SUFFICIENT STOCK,False
2025-12-28,SKU00385,5255,0,7,1209,404,SUFFICIENT STOCK,False
2025-11-28,SKU00386,41,0,7,132,51,REORDER REQUIRED,True
2025-11-23,SKU00387,89,0,7,43,9,SUFFICIENT STOCK,False
2025-12-10,SKU00388,14,0,7,40,11,REORDER REQUIRED,True
2025-11-09,SKU00389,7439,0,7,1697,593,SUFFICIENT STOCK,False
2025-12-27,SKU00390,73,0,7,36,8,SUFFICIENT STOCK,False
2025-12-08,SKU00391,538,0,7,250,71,SUFFICIENT STOCK,False
2025-12-21,SKU00393,340,0,7,188,77,SUFFICIENT STOCK,False
2025-11-16,SKU00394,70,0,7,51,15,SUFFICIENT STOCK,False
2025-12-15,SKU00395,144,0,7,128,41,SUFFICIENT STOCK,True
2025-12-02,SKU00396,111,0,7,45,16,SUFFICIENT STOCK,False
2025-12-21,SKU00397,355,0,7,160,60,SUFFICIENT STOCK,False
2025-12-05,SKU00398,179,0,7,92,37,SUFFICIENT STOCK,False
2025-12-27,SKU00400,300,0,7,144,54,SUFFICIENT STOCK,False
2025-08-30,SKU00401,6600,0,7,1434,489,SUFFICIENT STOCK,False
2025-12-26,SKU00402,199,0,7,172,56,SUFFICIENT STOCK,True
2025-12-31,SKU00403,371,0,7,259,96,SUFFICIENT STOCK,False
2025-12-18,SKU00404,131,0,7,92,45,SUFFICIENT STOCK,True
2025-12-27,SKU00405,326,0,7,221,74,SUFFICIENT STOCK,False
2025-12-20,SKU00407,248,0,7,165,46,SUFFICIENT STOCK,False
2025-12-13,SKU00408,246,0,7,147,40,SUFFICIENT STOCK,False
2025-11-15,SKU00409,166,0,7,129,48,SUFFICIENT STOCK,True
2025-11-18,SKU00410,64,0,7,148,65,REORDER REQUIRED,True
2025-12-18,SKU00411,502,0,7,280,82,SUFFICIENT STOCK,False
2025-11-07,SKU00413,84,0,7,73,31,SUFFICIENT STOCK,True
2025-12-08,SKU00414,81,0,7,53,12,SUFFICIENT STOCK,False
2025-12-05,SKU00415,227,0,7,145,42,SUFFICIENT STOCK,False
2025-10-12,SKU00416,0,0,7,971,378,OUT OF STOCK,True
2025-12-23,SKU00417,122,0,7,85,17,SUFFICIENT STOCK,False
2025-11-20,SKU00418,409,0,7,178,61,SUFFICIENT STOCK,False
2025-11-19,SKU00419,143,0,7,106,37,SUFFICIENT STOCK,False
